City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Bonfim,BR,2021-03-23 23:19:12,3.0833,-59.95,84.16,60,90,5.39
172,Sao Gabriel Da Cachoeira,BR,2021-03-23 23:19:12,-0.1303,-67.0892,70.57,99,100,2.01
173,Maltahohe,NA,2021-03-23 23:19:12,-24.8333,16.9833,71.06,54,55,7.29
174,Sao Filipe,CV,2021-03-23 23:19:12,14.8961,-24.4956,70.48,76,3,8.95
175,Biltine,TD,2021-03-23 23:19:13,14.5333,20.9167,87.48,13,43,8.55
176,Pombas,CV,2021-03-23 23:19:13,17.1503,-25.0201,69.8,68,75,21.85
177,Rio Gallegos,AR,2021-03-23 23:19:13,-51.6226,-69.2181,50.0,62,40,16.11
178,Praia Da Vitoria,PT,2021-03-23 23:19:13,38.7333,-27.0667,55.4,71,40,10.76
179,Blind River,CA,2021-03-23 23:19:14,46.1834,-82.9582,51.8,35,90,5.46
180,Luderitz,NA,2021-03-23 23:19:14,-26.6481,15.1594,65.7,76,1,7.0
181,Puerto Santander,CO,2021-03-23 23:19:14,8.3636,-72.4063,82.4,69,40,5.75
182,Porbandar,IN,2021-03-23 23:19:14,21.6422,69.6093,76.14,60,0,7.99
183,Novita,CO,2021-03-23 23:16:06,4.9551,-76.6053,76.57,91,87,2.15
184,Kaputa,ZM,2021-03-23 23:19:15,-8.4689,29.6619,68.23,91,87,2.48
185,Nasriganj,IN,2021-03-23 23:19:15,25.05,84.3333,76.23,25,42,5.99
186,Mirabad,AF,2021-03-23 23:19:15,30.4362,61.8383,69.39,12,73,9.28
187,At-Bashi,KG,2021-03-23 23:19:15,41.1702,75.8106,24.93,80,100,2.3
188,Point Pedro,LK,2021-03-23 23:19:16,9.8167,80.2333,80.4,75,20,10.18
189,Mezen,RU,2021-03-23 23:19:16,65.8522,44.24,32.86,96,100,19.15
190,Mahibadhoo,MV,2021-03-23 23:19:16,3.7833,72.9667,81.14,72,42,2.59
191,Amapa,BR,2021-03-23 23:19:16,1.0,-52.0,72.45,98,100,2.71
192,Atbasar,KZ,2021-03-23 23:19:16,51.8,68.3333,8.82,98,51,9.82
193,Iquitos,PE,2021-03-23 23:19:17,-3.7481,-73.2472,84.2,70,40,3.44
194,North Branford,US,2021-03-23 23:16:14,41.3276,-72.7673,57.2,71,75,6.91
195,Petropavlovskoye,RU,2021-03-23 23:19:17,52.0712,84.107,37.4,78,100,13.29
196,Santa Cruz Del Sur,CU,2021-03-23 23:17:13,20.7147,-77.9956,79.9,64,1,7.72
197,Puerto Rondon,CO,2021-03-23 23:19:17,6.2805,-71.1,79.32,70,97,5.59
198,Ciudad Bolivar,VE,2021-03-23 23:19:17,8.1222,-63.5497,85.86,52,94,11.9
199,Ithaki,GR,2021-03-23 23:19:18,38.3642,20.7185,48.2,57,75,13.8
200,Lahuachaca,BO,2021-03-23 23:19:18,-17.3667,-67.6667,50.14,65,94,6.85
201,Mahenge,TZ,2021-03-23 23:19:18,-8.6833,36.7167,63.27,94,96,1.23
202,Frankfort,ZA,2021-03-23 23:15:00,-27.2667,28.4833,57.61,88,100,4.7
203,Alta Floresta,BR,2021-03-23 23:19:18,-9.8756,-56.0861,72.0,91,93,1.1
204,Marzuq,YE,2021-03-23 23:19:19,14.4,46.4667,65.62,20,0,4.63
205,Lagoa,PT,2021-03-23 23:19:19,39.05,-27.9833,54.77,56,31,7.63
206,Luanda,AO,2021-03-23 23:14:25,-8.8368,13.2343,78.8,89,75,8.05
207,Antalaha,MG,2021-03-23 23:19:19,-14.9003,50.2788,74.95,90,82,3.62
208,Mlowo,TZ,2021-03-23 23:19:19,-9.0,32.9833,57.99,94,86,3.33
209,Tamandare,BR,2021-03-23 23:19:20,-8.7597,-35.1047,79.63,74,11,8.61
210,San Cristobal,VE,2021-03-23 23:19:20,7.7669,-72.225,82.4,69,40,5.75
211,Chavakkad,IN,2021-03-23 23:19:20,10.5333,76.05,78.8,94,75,2.3
212,Caceres,ES,2021-03-23 23:19:20,39.522,-6.3748,52.0,71,13,2.66
213,Ann Arbor,US,2021-03-23 23:19:08,42.2776,-83.7409,63.0,39,1,8.05
214,Toktogul,KG,2021-03-23 23:19:21,41.8708,72.9402,45.36,69,76,0.87
215,Baijiantan,CN,2021-03-23 23:19:21,45.6333,85.1833,47.07,59,100,30.42
216,Bandarbeyla,SO,2021-03-23 23:19:21,9.4942,50.8122,76.5,63,2,6.06
217,Husavik,IS,2021-03-23 23:19:21,66.0449,-17.3389,33.8,86,75,5.75
218,Sao Joao Da Barra,BR,2021-03-23 23:19:22,-21.6403,-41.0511,75.87,87,0,3.53
219,Ferrol,ES,2021-03-23 23:19:22,43.4832,-8.2369,55.99,76,75,2.3
220,Gamboma,CG,2021-03-23 23:19:22,-1.8764,15.8644,76.41,75,45,2.21
221,Gravdal,NO,2021-03-23 23:19:22,68.1214,13.5031,34.29,99,100,13.04
222,Carutapera,BR,2021-03-23 23:19:23,-1.195,-46.02,76.1,93,86,6.76
223,Dinguiraye,GN,2021-03-23 23:19:23,11.3,-10.7167,86.4,32,91,2.53
224,Crotone,IT,2021-03-23 23:19:23,39.0851,17.1178,39.0,54,21,5.99
225,Sikasso,ML,2021-03-23 23:19:23,10.9167,-7.0,84.61,40,85,2.95
226,Misratah,LY,2021-03-23 23:19:23,32.3754,15.0925,56.1,46,70,28.7
227,Meiganga,CM,2021-03-23 23:19:24,6.5167,14.3,66.74,87,97,1.59
228,Henties Bay,NA,2021-03-23 23:19:24,-22.116,14.2845,62.01,94,1,1.99
229,Lukovetskiy,RU,2021-03-23 23:19:24,64.2956,41.9211,33.8,80,75,8.95
230,Manakara,MG,2021-03-23 23:19:24,-22.1333,48.0167,73.45,96,100,1.1
231,Brae,GB,2021-03-23 23:19:25,60.3964,-1.353,44.6,81,40,29.93
232,Filingue,NE,2021-03-23 23:19:25,14.3521,3.3168,86.18,13,62,11.86
233,Pauini,BR,2021-03-23 23:19:25,-7.7136,-66.9764,73.6,96,85,2.39
234,Coquimbo,CL,2021-03-23 23:19:25,-29.9533,-71.3436,60.8,82,20,6.91
235,Irupi,BR,2021-03-23 23:19:26,-20.3453,-41.6411,67.3,92,52,2.75
236,Zhezkazgan,KZ,2021-03-23 23:19:26,47.8043,67.7144,-0.27,99,57,3.71
237,Linguere,SN,2021-03-23 23:19:26,15.3953,-15.1193,87.8,23,0,4.61
238,Danville,US,2021-03-23 23:19:26,36.586,-79.395,59.0,88,90,5.75
239,Saint Pete Beach,US,2021-03-23 23:19:27,27.7253,-82.7412,70.0,68,1,10.36
240,Jiwani,PK,2021-03-23 23:19:27,25.05,61.7417,75.87,70,30,0.76
241,Victoria,HK,2021-03-23 23:19:27,22.2855,114.1577,66.0,73,98,4.81
242,Qaqortoq,GL,2021-03-23 23:19:27,60.7167,-46.0333,17.6,53,75,2.3
243,Chapais,CA,2021-03-23 23:19:27,49.7834,-74.8492,42.8,49,75,3.44
244,Asyut,EG,2021-03-23 23:19:28,27.181,31.1837,75.2,25,0,18.41
245,Trairi,BR,2021-03-23 23:19:28,-3.2778,-39.2689,77.25,82,72,5.23
246,Minsk,BY,2021-03-23 23:16:31,53.9,27.5667,21.2,68,0,4.47
247,Umm Kaddadah,SD,2021-03-23 23:19:28,13.6017,26.6876,87.62,7,53,10.25
248,Miandrivazo,MG,2021-03-23 23:19:28,-19.5167,45.4667,75.29,91,100,3.36
249,Kapustin Yar,RU,2021-03-23 23:19:29,48.5831,45.7372,40.66,90,100,1.01
250,Tocopilla,CL,2021-03-23 23:19:29,-22.092,-70.1979,69.19,73,55,4.63
251,Richards Bay,ZA,2021-03-23 23:19:29,-28.783,32.0377,68.83,72,100,2.95
252,Igrim,RU,2021-03-23 23:19:29,63.1906,64.4162,16.5,95,37,6.29
253,Ostrovnoy,RU,2021-03-23 23:19:30,68.0531,39.5131,28.83,78,81,22.59
254,Krasnoselkup,RU,2021-03-23 23:19:30,65.7,82.4667,19.42,94,100,16.89
255,Tabou,CI,2021-03-23 23:19:30,4.423,-7.3528,78.21,89,74,7.09
256,Iskateley,RU,2021-03-23 23:19:30,67.6803,53.1512,23.63,94,100,19.04
257,Krasnoarmeysk,RU,2021-03-23 23:19:31,51.0239,45.6969,33.01,94,100,8.99
258,Mayumba,GA,2021-03-23 23:17:16,-3.432,10.6554,79.32,83,22,5.97
259,Koluszki,PL,2021-03-23 23:19:31,51.7387,19.8199,42.01,75,75,6.91
260,San Rafael Del Sur,NI,2021-03-23 23:19:31,11.8485,-86.4384,91.4,52,40,9.22
261,Asadabad,IR,2021-03-23 23:19:31,34.7824,48.1185,50.07,69,38,5.68
262,Mitu,CO,2021-03-23 23:16:06,1.1983,-70.1733,71.15,98,100,3.33
263,Shache,CN,2021-03-23 23:19:32,38.4167,77.2406,46.18,38,68,2.84
264,Camabatela,AO,2021-03-23 23:19:32,-8.1881,15.375,62.76,99,94,4.56
265,New Richmond,US,2021-03-23 23:14:37,45.123,-92.5366,48.2,87,90,16.11
266,Rocha,UY,2021-03-23 23:19:32,-34.4833,-54.3333,65.1,79,63,6.31
267,Monrovia,LR,2021-03-23 23:19:00,6.3005,-10.7969,78.8,94,40,5.68
268,Gawan,IN,2021-03-23 23:19:32,28.4333,78.35,68.07,43,95,7.25
269,Desaguadero,PE,2021-03-23 23:19:33,-16.5656,-69.0417,47.95,66,56,8.48
270,Joshimath,IN,2021-03-23 23:19:33,30.5667,79.5667,46.06,66,100,5.55
271,Padang,ID,2021-03-23 23:19:33,-0.9492,100.3543,75.2,94,90,2.3
272,Ilulissat,GL,2021-03-23 23:19:33,69.2167,-51.1,-5.8,71,75,12.66
273,Chelbasskaya,RU,2021-03-23 23:19:34,45.9792,39.3719,35.01,88,100,7.43
274,Warrington,GB,2021-03-23 23:18:25,53.3925,-2.5802,51.01,79,96,1.99
275,Torbay,CA,2021-03-23 23:19:34,47.6666,-52.7314,42.8,49,40,23.02
