City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Pietarsaari,FI,63.65,22.6833,39.0,75,0,9.22,clear sky
332,Temiscaming,CA,46.7212,-79.0971,28.4,80,100,10.36,overcast clouds
333,Jojoima,SL,7.8792,-10.7878,80.33,66,29,4.29,scattered clouds
334,Tamandare,BR,-8.7597,-35.1047,81.39,73,98,8.81,overcast clouds
335,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.58,86,97,1.5,overcast clouds
336,Dzaoudzi,YT,-12.7887,45.2699,80.6,78,0,3.44,clear sky
337,Kolpashevo,RU,58.3131,82.9089,29.28,93,99,10.22,overcast clouds
338,Mgandu,TZ,-5.95,34.1333,60.17,94,100,2.08,light rain
339,Komsomolskiy,UZ,40.4272,71.7189,55.4,82,90,6.91,overcast clouds
340,Nagybajom,HU,46.3923,17.5115,50.0,62,0,2.3,clear sky
341,Ebnat-Kappel,CH,47.262,9.1247,51.8,62,75,5.75,broken clouds
342,Hualmay,PE,-11.0964,-77.6139,74.73,72,27,9.78,scattered clouds
343,Toamasina,MG,-18.1667,49.3833,78.8,89,75,3.44,light rain
344,Kangaatsiaq,GL,68.3065,-53.4641,-7.08,80,85,8.19,overcast clouds
